name,ip_address_ranges,category,tag(id),isp_name
IP 1,87.106.24.200,3,,
IP 2,74.208.164.166,3,,
IP 3,108.175.9.189,3,,
IP 4,122.193.13.165,3,,
IP 5,2.85.88.18,3,,
IP 6,37.49.226.230,3,,
IP 7,37.58.70.163,3,,
IP 8,37.58.70.168,3,,
IP 9,46.165.237.75,3,,
IP 10,61.147.112.92,3,,
IP 11,87.117.253.83,3,,
IP 12,115.238.248.62,3,,
IP 13,203.178.148.19,3,,
IP 14,209.205.72.149,3,,
IP 15,58.57.170.26,3,,
IP 16,81.248.20.19,3,,
IP 17,142.0.142.223,3,,
IP 18,190.85.147.130,3,,
IP 19,196.46.101.64,3,,
IP 20,178.33.2.168,3,,
IP 21,178.33.2.175,3,,
IP 22,188.165.164.91,3,,
IP 23,178.162.151.41,3,,
IP 24,178.162.247.249,3,,
IP 25,188.138.33.215,3,,
IP 26,37.59.235.13,3,,
IP 27,209.205.72.158,3,,
IP 28,188.40.25.2,3,,
IP 29,185.5.173.64,3,,
IP 30,192.138.85.50,3,,
IP 31,61.147.103.69,3,,
IP 32,118.122.120.128,3,,
IP 33,15.201.202.83,3,,
IP 34,119.81.57.245,3,,
IP 35,177.106.0.0,3,,
IP 36,61.147.0.0,3,,
IP 37,222.184.0.0,3,,
IP 38,117.21.0.0,3,,
IP 39,61.160.0.0,3,,
IP 40,218.2.0.0,3,,
IP 41,194.225.24.0,3,,
IP 42,109.163.224.0,3,,
IP 43,187.188.0.0,3,,
IP 44,114.80.0.0,3,,
IP 45,122.136.0.0,3,,
IP 46,5.9.107.0,3,,
IP 47,213.238.168.0/21,3,,
IP 48,46.161.41.0/24,3,,
IP 49,94.242.192.0/18,3,,
IP 50,125.40.0.0/13,3,,
IP 51,124.202.128.0,3,,
IP 52,118.120.0.0/14,3,,
IP 53,82.221.105.0/24,3,,
IP 54,198.211.0.0/18,3,,
IP 55,88.214.193.98,3,,
IP 56,185.94.190.0/24,3,,
IP 57,185.32.220.0/22,3,,
IP 58,72.52.4.119/32,3,,
IP 59,94.31.29.248/32,3,,
IP 60,69.172.201.153/32,3,,
IP 61,10.1.133.167,3,,
IP 62,10.1.133.67,3,,
IP 63,10.2.2.19,3,,
IP 64,51.255.91.41,3,,
IP 65,178.175.129.90,3,,
